Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
17-01-2017,43.6,45.45,43.05,43.5,44.22,194850,698,8616514,141368,72.55,2.4,-0.1
16-01-2017,44,44.95,43.7,43.85,44.31,58440,291,2589612,42381,72.52,1.25,-0.15
13-01-2017,44.5,44.55,43.3,44.1,43.97,88524,356,3892541,67993,76.81,1.25,-0.4
12-01-2017,44.45,45.95,43.95,44.25,44.99,140701,527,6329894,98651,70.11,2,-0.2
11-01-2017,44,44.6,43.55,44.2,44.15,64442,373,2845065,43948,68.2,1.05,0.2
10-01-2017,44.2,45.5,43.3,43.85,44.48,95835,421,4262727,62031,64.73,2.2,-0.35
09-01-2017,45.3,45.85,44.4,44.6,45.14,90406,296,4081149,75284,83.27,1.45,-0.7
06-01-2017,45.15,45.9,44.9,45.35,45.35,124871,409,5662461,92445,74.03,1,0.2
05-01-2017,44.75,46.8,44.5,45.4,45.65,125709,589,5738068,67008,53.3,2.3,0.65
04-01-2017,45,45.75,44.2,44.35,44.9,79036,285,3548359,61913,78.34,1.55,-0.65
03-01-2017,44.5,47,44.45,45.45,45.85,133312,527,6112127,87924,65.95,2.55,0.95
02-01-2017,44,44.85,44,44.45,44.42,86381,284,3837296,67863,78.56,0.85,0.45
30-12-2016,44.3,44.55,43.5,44,43.94,85186,336,3743254,61281,71.94,1.05,-0.3
29-12-2016,43.1,44.35,42.6,43.9,43.58,67082,307,2923636,42347,63.13,1.75,0.8
28-12-2016,43.9,44.5,43.05,43.25,43.61,72435,294,3158925,61674,85.14,1.45,-0.65
27-12-2016,42.4,43.7,40.55,43.4,42.94,75629,354,3247343,55246,73.05,3.15,1
26-12-2016,44.25,44.9,42.1,42.35,42.88,152045,511,6519567,135767,89.29,2.8,-1.9
23-12-2016,44.9,45.9,44,44.35,45.03,66834,387,3009269,43222,64.67,1.9,-0.55
22-12-2016,46.5,46.85,44.6,44.9,45.32,108115,383,4899879,88852,82.18,2.25,-1.6
21-12-2016,47.9,48.15,46.2,46.55,47.28,63558,320,3005080,48407,76.16,1.95,-1.35
20-12-2016,49.4,51.45,47.3,47.6,49.34,109342,435,5395435,82914,75.83,4.15,-1.8
19-12-2016,49,50.65,48.5,49.15,49.58,64124,328,3179282,52459,81.81,2.15,0.15
16-12-2016,52,52.85,48.5,49.15,49.77,163751,1109,8150362,103517,63.22,4.35,-2.85
15-12-2016,49,54,49,51.85,52.11,737396,3486,38424919,422837,57.34,5,2.85
14-12-2016,46.95,48.5,45.1,47.95,47.14,158902,690,7490954,104215,65.58,3.4,1
13-12-2016,42.9,47.85,42.4,46.95,45.97,364103,1286,16738411,271457,74.56,5.45,4.05
12-12-2016,43.5,44.35,42.2,42.65,42.86,75613,317,3241044,49756,65.8,2.15,-0.85
09-12-2016,43.2,45,43,43.6,43.97,66671,392,2931726,45263,67.89,2,0.4
08-12-2016,45,46.5,43.2,43.55,44.72,132259,501,5915175,88686,67.05,3.3,-1.45
07-12-2016,45.35,45.95,44.55,44.85,45.23,140664,539,6361530,114949,81.72,1.4,-0.5
06-12-2016,42,48.65,41.9,44.85,45.84,768000,3036,35205621,283558,36.92,6.75,2.85
05-12-2016,42,42.7,41.6,42,42.11,42488,231,1789061,31402,73.91,1.1,0
02-12-2016,43,43.5,42,42.35,42.58,61293,275,2610041,45277,73.87,1.5,-0.65
01-12-2016,43.25,46.65,43.05,43.35,44.57,130246,680,5804467,52300,40.15,3.6,0.1
30-11-2016,43.25,44,43,43.55,43.61,72681,285,3169487,57077,78.53,1,0.3
29-11-2016,44.25,44.35,43.3,43.45,43.85,50165,246,2199523,33824,67.43,1.05,-0.8
28-11-2016,42.65,44.5,42.65,43.6,43.71,88860,344,3884482,58614,65.96,1.85,0.95
25-11-2016,42.9,44.5,42,43.25,43.07,138501,577,5964876,97929,70.71,2.5,0.35
24-11-2016,42.95,43.9,42,42.2,42.83,113006,431,4839721,79654,70.49,1.9,-0.75
23-11-2016,41.6,44.8,41.05,43.6,42.88,101591,537,4356604,67983,66.92,3.75,2
22-11-2016,43.4,43.8,41,41.55,41.87,114976,515,4813831,93328,81.17,2.8,-1.85
21-11-2016,46,46.5,42.15,43.05,43.37,132070,503,5727584,102796,77.83,4.35,-2.95
18-11-2016,44.9,46.1,44.15,45.85,45.24,75914,362,3434002,64073,84.4,1.95,0.95
17-11-2016,46.15,46.75,44,44.7,45.29,96244,418,4358973,77286,80.3,2.75,-1.45
16-11-2016,48.05,49,45.1,46.9,46.57,84404,350,3930675,57348,67.94,3.9,-1.15
15-11-2016,48.85,49.8,42.8,47.25,45.43,933357,671,42400632,900979,96.53,7,-1.6
11-11-2016,51.5,51.5,48.15,48.85,49.28,130597,596,6436067,103479,79.24,3.35,-2.65
10-11-2016,50,53.85,50,51.4,51.95,311545,1284,16185998,120063,38.54,3.85,1.4
09-11-2016,45,49.5,41.25,48.8,47.39,232736,987,11029063,163848,70.4,8.25,3.8
08-11-2016,52,52.2,48,50.4,50.66,189567,851,9603035,142406,75.12,4.2,-1.6
07-11-2016,52.95,53.25,51,52,52.04,126400,519,6578478,96871,76.64,2.25,-0.95
04-11-2016,54.15,54.85,51.6,52,52.86,204014,926,10783428,157091,77,3.25,-2.15
03-11-2016,56.9,59.2,54.5,55.35,56.59,438683,2264,24824697,241464,55.04,4.7,-1.55
02-11-2016,58,59.75,54.6,55.35,57.41,301933,1828,17332676,172478,57.12,5.15,-2.65
01-11-2016,53.6,58.4,53.2,57,56.95,433667,1792,24698986,277496,63.99,5.2,3.4
30-10-2016,52.5,54,52.25,53.65,53.5,109377,520,5851512,96053,87.82,1.75,1.15
28-10-2016,51.8,52.9,51.35,51.7,51.96,105471,489,5480063,82118,77.86,1.55,-0.1
27-10-2016,52,52.45,51.5,51.8,52.01,78217,269,4068277,62686,80.14,0.95,-0.2
26-10-2016,52.85,53.1,52,52.15,52.52,60073,321,3154891,40039,66.65,1.1,-0.7
25-10-2016,52.05,53.8,51.1,52.85,53.03,117434,597,6227807,74901,63.78,2.7,0.8
24-10-2016,52.9,52.9,51.55,51.85,51.99,103966,508,5405236,76802,73.87,1.35,-1.05
21-10-2016,53,53.8,52,52.55,52.9,100495,478,5316034,58696,58.41,1.8,-0.45
20-10-2016,52.95,53.75,52,52.3,52.65,113249,489,5962106,81673,72.12,1.75,-0.65
19-10-2016,52.6,53.1,52.3,52.8,52.72,126190,463,6653319,90183,71.47,0.8,0.2
18-10-2016,52.3,53,51.5,52.55,52.54,94735,499,4977821,73462,77.54,1.5,0.25
17-10-2016,52.5,53.9,51.5,51.7,52.67,131911,617,6947437,100611,76.27,2.4,-0.8
14-10-2016,51.4,52.8,51.4,52.05,52.24,94908,403,4957617,82238,86.65,1.4,0.65
13-10-2016,53.05,53.5,51.6,51.8,52.39,176305,599,9236502,136943,77.67,1.9,-1.25
10-10-2016,53.8,54.45,52.5,53.15,53.15,90612,413,4815911,64309,70.97,1.95,-0.65
07-10-2016,53.35,54.9,52.8,53.2,53.49,141816,442,7585148,100253,70.69,2.1,-0.15
06-10-2016,53.2,58.45,52.3,54,54.7,332074,1233,18165824,180277,54.29,6.15,0.8
05-10-2016,54.35,54.5,53,53.1,53.37,95653,430,5105272,77800,81.34,1.5,-1.25
04-10-2016,54.1,55.85,53.8,54,54.2,79727,383,4321398,57629,72.28,2.05,-0.1
03-10-2016,54.5,55.85,53.8,54.4,54.64,135460,521,7402102,106419,78.56,2.05,-0.1
30-09-2016,52.15,54.45,52,53.75,53.42,169659,857,9063336,102021,60.13,2.45,1.6
29-09-2016,57.95,58.7,50.5,52.15,53.45,464996,1547,24853112,303557,65.28,8.2,-5.8
28-09-2016,59.4,59.9,57.25,57.95,58.62,171008,673,10025317,141308,82.63,2.65,-1.45
27-09-2016,60.5,62,58.3,59.35,59.63,159244,747,9496252,112558,70.68,3.7,-1.15
26-09-2016,62.4,63,57.7,59.55,60.73,486820,2271,29563135,326729,67.11,5.3,-2.85
23-09-2016,55,64.95,55,59.35,61.23,1306054,5682,79968599,506677,38.79,9.95,4.35
22-09-2016,55.75,56,54.5,55.25,55.06,110466,342,6082006,81748,74,1.5,-0.5
21-09-2016,54,54.85,53.65,54.35,54.12,104806,320,5671967,68973,65.81,1.2,0.35
20-09-2016,54,55,53.5,54.1,54.08,51738,306,2798095,37616,72.7,1.5,0.1
19-09-2016,54.4,56.05,53.5,54.1,54.84,109852,506,6023764,75406,68.64,2.55,-0.3
16-09-2016,54.9,55.3,53.05,53.9,54.41,100311,354,5458232,79612,79.37,2.25,-1
15-09-2016,53.1,55.8,52,54.1,54.48,95929,511,5226506,56859,59.27,3.8,1
14-09-2016,53.6,54.3,52,52.8,52.62,154029,631,8105607,121614,78.96,2.3,-0.8
12-09-2016,55.25,55.25,54,54.2,54.34,62748,292,3409652,52047,82.95,1.25,-1.05
09-09-2016,55.65,56,54.15,55,55.22,69091,347,3815376,56042,81.11,1.85,-0.65
08-09-2016,56.9,56.9,55,55.7,55.69,175150,665,9754697,127208,72.63,1.9,-1.2
07-09-2016,57.95,58.35,55.95,56.4,57.2,141862,435,8114197,119737,84.4,2.4,-1.55
06-09-2016,55.5,59,55.5,56.65,57.49,208625,827,11992901,105585,50.61,3.5,1.15
02-09-2016,56.8,57.25,55,55.25,55.84,126265,541,7050319,92965,73.63,2.25,-1.55
01-09-2016,57,57.85,55.7,56.45,56.66,88961,396,5040293,62739,70.52,2.15,-0.55
31-08-2016,60.5,60.5,56,56.75,57.82,153923,741,8899204,112697,73.22,4.5,-3.75
30-08-2016,57.2,59.95,56.5,58.3,58.6,205414,971,12037088,131575,64.05,3.45,1.1
29-08-2016,56.5,57.3,55.4,55.75,55.99,68463,315,3832922,44947,65.65,1.9,-0.75
26-08-2016,56.55,57.5,55.6,55.9,56.23,115234,420,6479060,91873,79.73,1.9,-0.65
25-08-2016,57.85,58.75,56.15,56.55,56.93,97778,399,5566897,84240,86.15,2.6,-1.3
24-08-2016,58.25,59.7,57.6,57.85,58.4,78450,355,4581777,65085,82.96,2.1,-0.4
23-08-2016,60,60,58,58.35,58.79,64274,332,3778810,46436,72.25,2,-1.65
22-08-2016,58,60,57,59.2,58.6,97312,411,5702350,61291,62.98,3,1.2
19-08-2016,60.1,60.85,58,58.3,59.05,202595,481,11963695,167376,82.62,2.85,-1.8
18-08-2016,55.65,63,55.65,59.6,60.02,270463,1228,16233061,165609,61.23,7.35,3.95
17-08-2016,56.1,56.95,55.2,55.65,55.82,50057,245,2793949,39898,79.71,1.75,-0.45
16-08-2016,56.1,57.65,55.5,56.65,56.45,61428,246,3467625,46080,75.01,2.15,0.55
12-08-2016,56.7,58.7,56.5,57.4,57.78,105373,576,6088098,65842,62.48,2.2,0.7
11-08-2016,56.7,58.8,55,56.45,56.68,134178,585,7605867,79055,58.92,3.8,-0.25
10-08-2016,56.7,57.8,55.25,55.8,56.2,92509,451,5199217,60176,65.05,2.55,-0.9
09-08-2016,58,59,56.35,56.65,57.46,93367,444,5365235,67892,72.72,2.65,-1.35
08-08-2016,59.8,61.35,58.05,58.4,59.22,93283,454,5524551,71962,77.14,3.3,-1.4
05-08-2016,59.45,61.9,58.6,59.45,60.45,210405,896,12718320,133809,63.6,3.3,0
04-08-2016,56,59.75,55.3,57.9,58.13,159097,875,9248210,85260,53.59,4.45,1.9
03-08-2016,56.3,57.85,54.6,55.7,55.63,274756,1067,15285928,177216,64.5,3.25,-0.6
02-08-2016,60.05,60.05,56.1,58.3,57.83,393960,1545,22783563,266325,67.6,3.95,-1.75
01-08-2016,65.55,65.55,61.1,61.85,62.14,231659,872,14394865,173664,74.97,4.45,-3.7
29-07-2016,64.7,65.5,63.1,63.8,64.18,130800,595,8394543,100071,76.51,2.4,-0.9
28-07-2016,64.3,65,63.55,64.6,64.23,151915,436,9757888,111710,73.53,1.45,0.3
27-07-2016,66.1,67.25,63.3,64.35,65.8,167579,738,11026248,98172,58.58,3.95,-1.75
26-07-2016,63.55,68.4,62,65.4,65.59,376779,1621,24713228,233070,61.86,6.4,1.85
25-07-2016,64.5,65,63,63.55,63.58,138884,606,8830832,110687,79.7,2,-0.95
22-07-2016,64.05,65.75,62.1,63.85,63.95,201556,973,12888952,116609,57.85,3.65,-0.2
21-07-2016,68,68.6,63.9,64.35,65.69,343963,1595,22593309,264553,76.91,4.7,-3.65
20-07-2016,66.9,69.9,65.1,68.15,68.12,615744,2371,41944001,319196,51.84,4.8,1.25
19-07-2016,61.5,67.1,60.6,66.4,65.63,1158222,3430,76016968,513918,44.37,6.5,4.9
18-07-2016,62,65.8,59.55,61,62.95,703087,3059,44256891,428443,60.94,6.25,-1
15-07-2016,52,62,51.6,61.8,59.13,1069110,3524,63216260,629534,58.88,10.4,9.8
14-07-2016,52.5,53.8,51.4,51.7,52.47,150203,577,7880921,113515,75.57,2.4,-0.8
13-07-2016,54.5,55.4,51.5,52.4,52.64,259958,945,13684667,187837,72.26,3.9,-2.1
12-07-2016,57,58.7,54,54.55,56.03,315945,1231,17701063,220479,69.78,4.7,-2.45
11-07-2016,55.5,57.9,54.5,56.85,56.3,387039,1710,21789592,242830,62.74,3.4,1.35
08-07-2016,52.95,54.9,51.1,54.1,53.53,328040,1215,17558608,194560,59.31,3.8,1.15
07-07-2016,52.35,54,52.2,52.7,53.08,351921,1171,18678965,269092,76.46,1.8,0.35
05-07-2016,50.5,54.3,50.1,51.75,52.29,377856,1752,19757068,225127,59.58,4.2,1.25
04-07-2016,49,52.8,48,50.8,50.7,646335,2965,32772000,276412,42.77,4.8,1.8
01-07-2016,48.65,50.6,48.2,48.7,49.35,272343,1050,13439004,204104,74.94,2.4,0.05
30-06-2016,49.6,51,45.6,48.6,48.98,868678,3458,42545050,511546,58.89,5.4,-1
29-06-2016,43,49.05,42.65,48.75,47.2,2800420,8041,132179047,1044994,37.32,6.4,5.75
28-06-2016,41.5,43,40.3,40.9,41.56,428758,2012,17820996,180979,42.21,2.7,-0.6
27-06-2016,42,42.5,40.3,41.3,41.65,344352,1248,14343051,235403,68.36,2.2,-0.7
24-06-2016,37.5,42.5,36.1,39.6,39.23,361264,1236,14172703,207505,57.44,6.4,2.1
23-06-2016,39,39,37.65,37.9,38.04,78429,241,2983698,67726,86.35,1.35,-1.1
22-06-2016,38.9,38.9,38,38.1,38.26,92901,259,3554629,81215,87.42,0.9,-0.8
21-06-2016,38.8,38.85,38.35,38.55,38.51,57847,136,2227870,53910,93.19,0.5,-0.25
20-06-2016,38.8,39.4,38.2,38.6,38.75,41112,154,1592956,29450,71.63,1.2,-0.2
17-06-2016,39.7,40.4,38.55,38.65,39.27,94453,318,3708804,81452,86.24,1.85,-1.05
16-06-2016,40.5,40.5,39.5,39.65,39.82,93242,271,3712677,84250,90.36,1,-0.85
15-06-2016,40.15,40.9,40.05,40.15,40.41,87810,308,3548578,65991,75.15,0.85,0
14-06-2016,40.55,40.9,39.95,40.05,40.16,126236,315,5069719,108558,86,0.95,-0.5
13-06-2016,38.8,40.9,38.2,40.05,39.81,218168,998,8685130,129380,59.3,2.7,1.25
10-06-2016,38,41.25,37.8,39.05,39.07,437688,966,17100329,331745,75.79,3.45,1.05
09-06-2016,38.1,38.8,37.55,37.75,38.05,50542,243,1923142,41240,81.6,1.25,-0.35
08-06-2016,38.5,39.35,38,38.35,38.6,65891,277,2543698,44012,66.8,1.35,-0.15
07-06-2016,38.4,38.9,38,38.25,38.23,50602,142,1934645,39077,77.22,0.9,-0.15
06-06-2016,38,38.85,37.8,38.2,38.16,53176,253,2029042,46386,87.23,1.05,0.2
03-06-2016,38.3,38.35,37.7,37.9,37.92,69348,256,2629818,59891,86.36,0.65,-0.4
02-06-2016,37.95,38.2,37.5,37.8,37.86,32893,171,1245453,28109,85.46,0.7,-0.15
01-06-2016,38.8,38.8,37.5,37.85,38.02,104568,302,3976111,89632,85.72,1.3,-0.95
31-05-2016,38.65,38.95,38,38.25,38.24,33883,203,1295805,29586,87.32,0.95,-0.4
30-05-2016,39.8,39.8,37.9,39.05,38.56,107635,378,4150654,79402,73.77,1.9,-0.75
27-05-2016,39,39.75,38.6,39.35,39.11,53201,264,2080527,46140,86.73,1.15,0.35
26-05-2016,38.7,39.9,38.1,38.6,38.8,65885,288,2556133,40409,61.33,1.8,-0.1
25-05-2016,38.35,40,38,38.7,38.77,63341,305,2455463,46660,73.66,2,0.35
24-05-2016,38.5,38.9,37.25,37.55,37.97,193529,446,7348852,166400,85.98,1.65,-0.95
23-05-2016,38.9,38.9,38,38.2,38.41,49782,264,1912371,43836,88.06,0.9,-0.7
20-05-2016,39.5,40.25,37.6,38.05,38.91,97037,462,3775847,84979,87.57,2.65,-1.45
19-05-2016,42.5,43,40,40.25,41.29,149060,510,6154332,107003,71.79,3,-2.25
18-05-2016,41.4,41.6,39.5,41.3,41.06,148319,566,6090545,111445,75.14,2.1,-0.1
17-05-2016,42,42.25,40,40.5,41.43,153256,530,6350127,111494,72.75,2.25,-1.5
16-05-2016,41.1,42.55,41.1,41.35,41.79,446597,1768,18664952,267208,59.83,1.45,0.25
13-05-2016,37.6,41,37.05,39.9,39.17,178327,653,6985207,122880,68.91,3.95,2.3
12-05-2016,37.1,38.4,36.85,38.05,37.5,109370,398,4101748,81076,74.13,1.55,0.95
11-05-2016,36.5,37.55,36.2,37.1,36.92,68810,302,2540239,46976,68.27,1.35,0.6
10-05-2016,37.75,37.75,36.6,36.95,36.96,78815,235,2912927,61528,78.07,1.15,-0.8
09-05-2016,37.5,38.3,36.3,37.4,37.42,81426,434,3046814,45209,55.52,2,-0.1
06-05-2016,37.4,37.8,36.5,36.95,36.98,61075,323,2258439,36899,60.42,1.3,-0.45
05-05-2016,38,38,36.1,37,36.74,99437,483,3653619,66717,67.09,1.9,-1
04-05-2016,38.25,38.35,36.4,37.3,37.39,88610,414,3312919,61975,69.94,1.95,-0.95
03-05-2016,38.55,40.45,38,38.2,39.05,139897,550,5463177,90929,65,2.45,-0.35
02-05-2016,38.8,39.75,38.1,38.45,38.76,76461,399,2963621,54924,71.83,1.65,-0.35
29-04-2016,39.65,40.1,38.5,39.05,39.25,87467,442,3433511,63634,72.75,1.6,-0.6
28-04-2016,39.25,40.25,39.25,39.65,39.62,112754,529,4467381,88248,78.27,1,0.4
27-04-2016,43,43,39.25,39.75,40.45,382000,1630,15453486,284358,74.44,3.75,-3.25
26-04-2016,41.55,44.85,41.1,43.4,43.45,286455,1204,12447333,198661,69.35,3.75,1.85
25-04-2016,41.6,42,41.25,41.55,41.62,124266,481,5171558,93255,75.04,0.75,-0.05
22-04-2016,42.45,42.45,41.1,41.9,41.9,109511,565,4588362,76389,69.75,1.35,-0.55
21-04-2016,42.8,42.9,41.1,41.85,41.97,282416,1218,11852980,186135,65.91,1.8,-0.95
20-04-2016,42,44.3,42,43,43.17,1587198,6394,68518458,804599,50.69,2.3,1
18-04-2016,38.75,38.75,36.45,36.95,37.23,201694,471,7509076,174210,86.37,2.3,-1.8
13-04-2016,38.1,39,38,38.2,38.44,133426,555,5129129,89476,67.06,1,0.1
12-04-2016,37.55,39.7,36.5,37.95,38.38,381938,1697,14660109,112641,29.49,3.2,0.4
11-04-2016,38.1,38.7,36.65,37.25,37.35,125892,381,4701668,87955,69.87,2.05,-0.85
08-04-2016,35.25,39.9,35.1,38.35,38.02,352865,1368,13415799,146030,41.38,4.8,3.1
07-04-2016,36.9,37.5,35.1,35.65,36.24,118414,346,4291093,77133,65.14,2.4,-1.25
06-04-2016,38.75,38.75,36.1,36.45,37.39,133777,507,5001484,86006,64.29,2.65,-2.3
05-04-2016,39.7,39.7,36.55,37.25,37.65,295437,969,11122728,187800,63.57,3.15,-2.45
04-04-2016,34.3,40.35,33.65,40.2,38.49,1308122,4193,50345520,495319,37.86,6.7,5.9
01-04-2016,34.8,34.8,33.5,33.65,34.12,37027,127,1263417,32221,87.02,1.3,-1.15
31-03-2016,32.85,37.9,32.35,34.3,34.19,231416,560,7913109,131795,56.95,5.55,1.45
30-03-2016,32.6,33.4,32,32.6,32.93,50401,181,1659639,44958,89.2,1.4,0
29-03-2016,32.5,32.9,31.8,32.05,32.23,64686,208,2084550,58273,90.09,1.1,-0.45
28-03-2016,32.15,33.1,31.75,32.55,32.65,100009,237,3265405,89022,89.01,1.35,0.4
23-03-2016,32.5,32.9,31.7,32.15,32.23,67009,172,2159537,57326,85.55,1.2,-0.35
22-03-2016,31.95,32.6,31.7,31.95,32.03,36135,148,1157486,31893,88.26,0.9,0
21-03-2016,31.6,32.25,31.45,31.95,31.9,48997,177,1562919,42849,87.45,0.8,0.35
18-03-2016,32.5,32.5,31.4,31.65,31.69,66662,228,2112587,34727,52.09,1.1,-0.85
17-03-2016,33.9,33.9,31.1,31.8,32.24,64159,237,2068663,51118,79.67,2.8,-2.1
16-03-2016,31.75,33.5,31.3,32.95,32.07,83445,171,2675975,67315,80.67,2.2,1.2
15-03-2016,33.4,33.4,31.5,31.75,32.29,50695,190,1637165,37709,74.38,1.9,-1.65
14-03-2016,33.9,34,32.1,32.55,32.97,62640,286,2064982,47467,75.78,1.9,-1.35
11-03-2016,34.35,34.7,33.3,33.5,33.8,75463,253,2550991,55374,73.38,1.4,-0.85
10-03-2016,34.55,35,33.5,34.3,34.37,81679,274,2806931,58017,71.03,1.5,-0.25
09-03-2016,34.85,35.2,33.65,34.1,34.36,129368,314,4445496,103520,80.02,1.55,-0.75
08-03-2016,35.9,36.45,35.15,35.55,35.74,78934,320,2820857,63565,80.53,1.3,-0.35
04-03-2016,34.5,35.9,34,35.1,35.28,139515,542,4921849,101730,72.92,1.9,0.6
03-03-2016,34.45,34.95,33.5,33.7,33.99,78378,224,2664375,59106,75.41,1.45,-0.75
02-03-2016,33.5,35.8,32.55,34.05,34.29,126589,473,4341330,86996,68.72,3.25,0.55
01-03-2016,31.65,33.3,31.65,32.7,32.5,89636,327,2913461,61517,68.63,1.65,1.05
29-02-2016,32,33.5,31.4,31.9,32.19,65678,229,2114269,49467,75.32,2.1,-0.1
26-02-2016,32.5,32.5,31,31.75,31.58,48334,224,1526440,39878,82.51,1.5,-0.75
25-02-2016,32.5,32.5,30.1,30.85,31.31,30750,147,962723,25358,82.47,2.4,-1.65
24-02-2016,32.5,32.9,31.5,31.7,31.96,45880,222,1466414,37215,81.11,1.4,-0.8
23-02-2016,33,33.25,31.5,32.45,32.54,25590,170,832694,20139,78.7,1.75,-0.55
22-02-2016,33.1,34.5,32.35,33,33.25,61767,258,2053778,46816,75.79,2.15,-0.1
19-02-2016,33.75,33.75,32.05,32.75,32.94,37369,217,1230844,25834,69.13,1.7,-1
18-02-2016,33.75,33.75,32.6,33.55,33.25,56075,223,1864420,45250,80.7,1.15,-0.2
17-02-2016,33.2,34.3,30.5,32.3,31.78,143944,552,4574595,80031,55.6,3.8,-0.9
16-02-2016,38,38,32.5,33.5,34.36,143895,550,4944807,98235,68.27,5.5,-4.5
15-02-2016,36.5,36.75,34.3,35.6,35.44,84484,445,2994116,54712,64.76,2.45,-0.9
12-02-2016,35.5,35.7,31.25,34.2,32.8,203575,698,6676285,129480,63.6,4.45,-1.3
11-02-2016,36,37.8,33.75,33.9,34.82,161174,545,5612645,134611,83.52,4.05,-2.1
10-02-2016,36.1,37.75,33.6,37.45,36.35,152086,502,5528193,118807,78.12,4.15,1.35
09-02-2016,34.05,37,34,36.3,35.79,105708,413,3783368,68927,65.21,3,2.25
08-02-2016,34.95,36.7,34.95,35.05,35.46,74805,293,2652801,61492,82.2,1.75,0.1
05-02-2016,33.3,36.6,33.3,34.4,35.07,110483,352,3874563,84513,76.49,3.3,1.1
04-02-2016,36.75,37,34.3,34.55,35.05,97650,396,3422419,66152,67.74,2.7,-2.2
03-02-2016,36.65,38.5,36.1,36.1,36.43,127646,412,4650776,100500,78.73,2.4,-0.55
02-02-2016,41,41.2,37.75,38,39.58,138481,593,5480892,112666,81.36,3.45,-3
01-02-2016,38.75,39.7,38.1,39.7,39.49,101322,258,4001272,95910,94.66,1.6,0.95
29-01-2016,38.05,38.7,36.3,37.85,37.55,123685,408,4644990,79831,64.54,2.4,-0.2
28-01-2016,39.7,39.7,37.2,38.15,38.52,193933,635,7470329,140644,72.52,2.5,-1.55
27-01-2016,37.8,38.4,37.35,38.4,38.26,175208,318,6703558,92171,52.61,1.05,0.6
25-01-2016,36.4,36.6,35.9,36.6,36.55,102223,202,3735997,87902,85.99,0.7,0.2
22-01-2016,34.45,34.9,33.7,34.9,34.88,100632,263,3509962,75032,74.56,1.2,0.45
21-01-2016,31.55,33.25,31.5,33.25,32.59,132162,437,4307283,77889,58.93,1.75,1.7
20-01-2016,33,33,31.55,31.7,31.93,156436,444,4995163,112645,72.01,1.45,-1.3
19-01-2016,32.2,33.75,32.2,33.15,32.94,120557,519,3971350,81169,67.33,1.55,0.95
18-01-2016,34.4,34.5,33.75,33.75,33.84,95040,262,3216573,87412,91.97,0.75,-0.65
15-01-2016,38.8,39.1,35.4,35.5,37.46,281057,684,10528324,205603,73.15,3.7,-3.3
14-01-2016,36.25,38.85,36.25,37.25,37.37,252661,722,9441724,157590,62.37,2.6,1
13-01-2016,40,41.5,38.15,38.15,39.66,270188,510,10716402,230312,85.24,3.35,-1.85
12-01-2016,40.4,41.45,39.5,40.15,40.63,113083,485,4594997,88419,78.19,1.95,-0.25
11-01-2016,40.5,41,39.25,40.5,39.94,177104,809,7073855,118721,67.03,1.75,0
08-01-2016,43.4,43.4,41.1,41.25,41.89,504135,1377,21120096,345135,68.46,2.3,-2.15
07-01-2016,41.9,43.4,41,43.25,43.13,752911,2181,32471175,505423,67.13,2.4,1.35
06-01-2016,41.85,41.85,38.65,41.85,41.35,1166569,1907,48238322,714063,61.21,3.2,0
05-01-2016,39.9,39.9,39.9,39.9,39.9,43038,49,1717216,43038,100,0,0
04-01-2016,38,38,38,38,38,18513,50,703494,18513,100,0,0
01-01-2016,36.2,36.2,36.2,36.2,36.2,9887,36,357909,9887,100,0,0
31-12-2015,34.5,34.5,34.5,34.5,34.5,13635,30,470407,13635,100,0,0
30-12-2015,34.5,34.5,34.5,34.5,34.5,40623,42,1401493,40623,100,0,0
29-12-2015,34.5,34.5,34.5,34.5,34.5,21847,58,753721,21847,100,0,0
28-12-2015,34.5,34.5,34.5,34.5,34.5,19922,44,687309,19922,100,0,0
24-12-2015,34.5,34.5,34.5,34.5,34.5,112857,192,3893566,101387,89.84,0,0
23-12-2015,33.25,34.5,33,34.15,34.1,316358,693,10788938,212496,67.17,1.5,0.9
22-12-2015,33.9,34.3,32.8,33.3,33.26,118484,403,3941080,90407,76.3,1.5,-0.6
21-12-2015,34.45,34.45,32.8,33.9,33.72,471571,1076,15902848,341162,72.35,1.65,-0.55
18-12-2015,34.5,34.5,34.5,34.5,34.5,95592,175,3297924,95592,100,0,0
17-12-2015,30.1,32.65,29.55,32.65,32.02,267674,702,8570531,207659,77.58,3.1,2.55
16-12-2015,28.7,30.35,28.7,29.7,29.87,266872,601,7972240,164685,61.71,1.65,1
15-12-2015,27.05,28.75,27,28.4,28.4,81678,330,2319577,68232,83.54,1.75,1.35
14-12-2015,25.4,28.45,25.4,27.45,26.69,161865,503,4319933,94593,58.44,3.05,2.05
11-12-2015,27.35,28.85,25.8,26.55,26.8,253231,804,6785564,167794,66.26,3.05,-0.8
10-12-2015,28.45,29.9,27.6,27.95,28.17,124140,422,3496863,96335,77.6,2.3,-0.5
09-12-2015,31.05,31.45,28.65,28.8,29.51,115158,388,3398785,,,2.8,-2.25
08-12-2015,30.95,33.75,30.95,31.45,31.63,175377,466,5546740,129791,74.01,2.8,0.5
07-12-2015,33,33.8,31.2,31.6,32.4,247363,862,8013590,171932,69.51,2.6,-1.4
